# freq,start,dur
2.190099999999999909e+02,7.700000000000000000e+01,1.900000000000000000e+01
1.644079999999999870e+02,1.000000000000000000e+02,2.000000000000000000e+01
1.094500000000000028e+02,1.250000000000000000e+02,1.600000000000000000e+01
1.380159999999999911e+02,2.110000000000000000e+02,4.200000000000000000e+01
1.188960000000000008e+02,2.570000000000000000e+02,9.000000000000000000e+00
1.659209999999999923e+02,2.990000000000000000e+02,2.400000000000000000e+01
1.665389999999999873e+02,3.280000000000000000e+02,1.700000000000000000e+01
1.655240000000000009e+02,3.500000000000000000e+02,2.300000000000000000e+01
2.455980000000000132e+02,4.350000000000000000e+02,9.000000000000000000e+00
1.844300000000000068e+02,4.600000000000000000e+02,1.700000000000000000e+01
1.226779999999999973e+02,4.820000000000000000e+02,4.200000000000000000e+01
1.471719999999999970e+02,5.750000000000000000e+02,3.400000000000000000e+01
1.847969999999999970e+02,6.570000000000000000e+02,2.000000000000000000e+01
1.845039999999999907e+02,6.820000000000000000e+02,1.400000000000000000e+01
1.843189999999999884e+02,7.010000000000000000e+02,3.500000000000000000e+01
2.457410000000000139e+02,7.880000000000000000e+02,1.500000000000000000e+01
1.838040000000000020e+02,8.190000000000000000e+02,5.000000000000000000e+00
1.469689999999999941e+02,8.400000000000000000e+02,4.000000000000000000e+01
1.838830000000000098e+02,9.220000000000000000e+02,5.200000000000000000e+01
1.652110000000000127e+02,1.016000000000000000e+03,1.900000000000000000e+01
1.649430000000000121e+02,1.038000000000000000e+03,5.100000000000000000e+01
2.176469999999999914e+02,1.147000000000000000e+03,1.900000000000000000e+01
1.646260000000000048e+02,1.169000000000000000e+03,1.800000000000000000e+01
1.094129999999999967e+02,1.197000000000000000e+03,2.700000000000000000e+01
1.088110000000000070e+02,1.226000000000000000e+03,1.300000000000000000e+01
1.381320000000000050e+02,1.283000000000000000e+03,3.900000000000000000e+01
1.651090000000000089e+02,1.371000000000000000e+03,2.100000000000000000e+01
1.658160000000000025e+02,1.395000000000000000e+03,1.700000000000000000e+01
1.661599999999999966e+02,1.419000000000000000e+03,5.000000000000000000e+00
1.637299999999999898e+02,1.531000000000000000e+03,5.000000000000000000e+00
1.093400000000000034e+02,1.556000000000000000e+03,3.900000000000000000e+01
1.379660000000000082e+02,1.644000000000000000e+03,4.200000000000000000e+01
1.652659999999999911e+02,1.736000000000000000e+03,1.900000000000000000e+01
1.651339999999999861e+02,1.759000000000000000e+03,1.200000000000000000e+01
1.649509999999999934e+02,1.780000000000000000e+03,3.000000000000000000e+01
2.458120000000000118e+02,1.865000000000000000e+03,1.700000000000000000e+01
1.832189999999999941e+02,1.892000000000000000e+03,1.600000000000000000e+01
1.226029999999999944e+02,1.917000000000000000e+03,4.300000000000000000e+01
1.471239999999999952e+02,2.004000000000000000e+03,4.300000000000000000e+01
1.857630000000000052e+02,2.092000000000000000e+03,1.800000000000000000e+01
1.853930000000000007e+02,2.117000000000000000e+03,1.900000000000000000e+01
1.852179999999999893e+02,2.141000000000000000e+03,1.200000000000000000e+01
1.830490000000000066e+02,2.252000000000000000e+03,1.000000000000000000e+01
1.471310000000000002e+02,2.278000000000000000e+03,4.100000000000000000e+01
1.842210000000000036e+02,2.368000000000000000e+03,4.600000000000000000e+01
1.651790000000000020e+02,2.455000000000000000e+03,2.400000000000000000e+01
1.654209999999999923e+02,2.486000000000000000e+03,1.400000000000000000e+01
1.648509999999999991e+02,2.505000000000000000e+03,3.000000000000000000e+01
2.181740000000000066e+02,2.596000000000000000e+03,1.400000000000000000e+01
1.646730000000000018e+02,2.612000000000000000e+03,1.900000000000000000e+01
1.089459999999999980e+02,2.640000000000000000e+03,1.800000000000000000e+01
1.379180000000000064e+02,2.725000000000000000e+03,4.800000000000000000e+01
1.649869999999999948e+02,2.817000000000000000e+03,1.400000000000000000e+01
1.640269999999999868e+02,2.839000000000000000e+03,2.200000000000000000e+01
1.650070000000000050e+02,2.865000000000000000e+03,3.100000000000000000e+01
1.644590000000000032e+02,2.973000000000000000e+03,1.700000000000000000e+01
1.090939999999999941e+02,3.002000000000000000e+03,3.900000000000000000e+01
1.381879999999999882e+02,3.085000000000000000e+03,4.900000000000000000e+01
1.653259999999999934e+02,3.176000000000000000e+03,7.700000000000000000e+01
2.468530000000000086e+02,3.309000000000000000e+03,2.100000000000000000e+01
1.846200000000000045e+02,3.335000000000000000e+03,1.900000000000000000e+01
1.224000000000000057e+02,3.362000000000000000e+03,3.400000000000000000e+01
1.470480000000000018e+02,3.446000000000000000e+03,2.200000000000000000e+01
1.845399999999999920e+02,3.537000000000000000e+03,1.900000000000000000e+01
1.853009999999999877e+02,3.562000000000000000e+03,1.700000000000000000e+01
1.845900000000000034e+02,3.582000000000000000e+03,3.800000000000000000e+01
1.837700000000000102e+02,3.694000000000000000e+03,1.000000000000000000e+01
1.473820000000000050e+02,3.716000000000000000e+03,4.400000000000000000e+01
1.835670000000000073e+02,3.803000000000000000e+03,3.000000000000000000e+01
1.650029999999999859e+02,3.897000000000000000e+03,2.300000000000000000e+01
1.647889999999999873e+02,3.940000000000000000e+03,3.300000000000000000e+01
2.170399999999999920e+02,4.035000000000000000e+03,1.600000000000000000e+01
1.645349999999999966e+02,4.055000000000000000e+03,1.700000000000000000e+01
1.093319999999999936e+02,4.081000000000000000e+03,3.900000000000000000e+01
1.381059999999999945e+02,4.168000000000000000e+03,5.100000000000000000e+01
1.650500000000000114e+02,4.259000000000000000e+03,1.900000000000000000e+01
1.654780000000000086e+02,4.284000000000000000e+03,1.900000000000000000e+01
1.653890000000000100e+02,4.306000000000000000e+03,2.300000000000000000e+01
2.183590000000000089e+02,4.395000000000000000e+03,1.800000000000000000e+01
1.655730000000000075e+02,4.418000000000000000e+03,1.400000000000000000e+01
1.090829999999999984e+02,4.442000000000000000e+03,4.600000000000000000e+01
1.371779999999999973e+02,4.526000000000000000e+03,1.900000000000000000e+01
1.650689999999999884e+02,4.619000000000000000e+03,1.900000000000000000e+01
1.646949999999999932e+02,4.645000000000000000e+03,1.500000000000000000e+01
1.648969999999999914e+02,4.665000000000000000e+03,3.000000000000000000e+01
1.835349999999999966e+02,4.777000000000000000e+03,1.800000000000000000e+01
1.226539999999999964e+02,4.805000000000000000e+03,1.300000000000000000e+01
1.468969999999999914e+02,4.895000000000000000e+03,3.800000000000000000e+01
1.847150000000000034e+02,4.977000000000000000e+03,1.800000000000000000e+01
1.990519999999999925e+02,4.998000000000000000e+03,6.000000000000000000e+00
1.840680000000000121e+02,5.026000000000000000e+03,3.400000000000000000e+01
2.446380000000000052e+02,5.113000000000000000e+03,1.300000000000000000e+01
1.842719999999999914e+02,5.137000000000000000e+03,1.300000000000000000e+01
1.469550000000000125e+02,5.163000000000000000e+03,3.900000000000000000e+01
1.841980000000000075e+02,5.254000000000000000e+03,5.100000000000000000e+01
1.646779999999999973e+02,5.348000000000000000e+03,1.800000000000000000e+01
1.644329999999999927e+02,5.371000000000000000e+03,1.600000000000000000e+01
1.640850000000000080e+02,5.394000000000000000e+03,3.000000000000000000e+01
2.188249999999999886e+02,5.483000000000000000e+03,1.500000000000000000e+01
1.648689999999999998e+02,5.509000000000000000e+03,1.300000000000000000e+01
1.088280000000000030e+02,5.532000000000000000e+03,4.600000000000000000e+01
1.380519999999999925e+02,5.618000000000000000e+03,3.100000000000000000e+01
1.657769999999999868e+02,5.708000000000000000e+03,1.900000000000000000e+01
1.655020000000000095e+02,5.733000000000000000e+03,1.800000000000000000e+01
1.649300000000000068e+02,5.757000000000000000e+03,3.000000000000000000e+01
2.185120000000000005e+02,5.846000000000000000e+03,1.600000000000000000e+01
1.641719999999999970e+02,5.869000000000000000e+03,2.000000000000000000e+01
1.090180000000000007e+02,5.898000000000000000e+03,3.400000000000000000e+01
1.378969999999999914e+02,5.984000000000000000e+03,4.900000000000000000e+01
1.647649999999999864e+02,6.076000000000000000e+03,1.900000000000000000e+01
1.652930000000000064e+02,6.101000000000000000e+03,4.800000000000000000e+01
2.467069999999999936e+02,6.205000000000000000e+03,2.100000000000000000e+01
1.840339999999999918e+02,6.234000000000000000e+03,1.500000000000000000e+01
1.226710000000000065e+02,6.258000000000000000e+03,4.300000000000000000e+01
1.471049999999999898e+02,6.340000000000000000e+03,4.500000000000000000e+01
1.848249999999999886e+02,6.434000000000000000e+03,1.400000000000000000e+01
1.840339999999999918e+02,6.455000000000000000e+03,1.800000000000000000e+01
1.842419999999999902e+02,6.479000000000000000e+03,3.700000000000000000e+01
2.461430000000000007e+02,6.566000000000000000e+03,1.400000000000000000e+01
1.833700000000000045e+02,6.591000000000000000e+03,8.000000000000000000e+00
1.477100000000000080e+02,6.614000000000000000e+03,4.100000000000000000e+01
1.813079999999999927e+02,6.700000000000000000e+03,4.000000000000000000e+00
1.838170000000000073e+02,6.706000000000000000e+03,4.300000000000000000e+01
1.650469999999999970e+02,6.793000000000000000e+03,2.000000000000000000e+01
1.650250000000000057e+02,6.816000000000000000e+03,1.900000000000000000e+01
1.650070000000000050e+02,6.839000000000000000e+03,3.400000000000000000e+01
2.187700000000000102e+02,6.930000000000000000e+03,1.100000000000000000e+01
1.645219999999999914e+02,6.951000000000000000e+03,1.600000000000000000e+01
1.109710000000000036e+02,6.977000000000000000e+03,4.200000000000000000e+01
1.383089999999999975e+02,7.060000000000000000e+03,4.500000000000000000e+01
1.650440000000000111e+02,7.154000000000000000e+03,2.200000000000000000e+01
1.655250000000000057e+02,7.180000000000000000e+03,1.800000000000000000e+01
1.647740000000000009e+02,7.203000000000000000e+03,2.900000000000000000e+01
1.654910000000000139e+02,7.272000000000000000e+03,6.000000000000000000e+00
2.192249999999999943e+02,7.288000000000000000e+03,2.000000000000000000e+01
1.646990000000000123e+02,7.314000000000000000e+03,1.600000000000000000e+01
1.093280000000000030e+02,7.340000000000000000e+03,1.100000000000000000e+01
1.375370000000000061e+02,7.425000000000000000e+03,7.000000000000000000e+00
1.379689999999999941e+02,7.435000000000000000e+03,2.500000000000000000e+01
1.648350000000000080e+02,7.515000000000000000e+03,2.200000000000000000e+01
1.650629999999999882e+02,7.543000000000000000e+03,4.900000000000000000e+01
2.455589999999999975e+02,7.652000000000000000e+03,1.400000000000000000e+01
1.835999999999999943e+02,7.674000000000000000e+03,1.900000000000000000e+01
1.226689999999999969e+02,7.700000000000000000e+03,4.400000000000000000e+01
1.470780000000000030e+02,7.785000000000000000e+03,4.300000000000000000e+01
1.853240000000000123e+02,7.875000000000000000e+03,2.000000000000000000e+01
1.858340000000000032e+02,7.900000000000000000e+03,1.900000000000000000e+01
2.449579999999999984e+02,8.012000000000000000e+03,1.000000000000000000e+01
1.855149999999999864e+02,8.037000000000000000e+03,9.000000000000000000e+00
1.473919999999999959e+02,8.058000000000000000e+03,4.400000000000000000e+01
1.842150000000000034e+02,8.147000000000000000e+03,4.900000000000000000e+01
1.654379999999999882e+02,8.241000000000000000e+03,2.000000000000000000e+01
1.653449999999999989e+02,8.265000000000000000e+03,1.900000000000000000e+01
1.650080000000000098e+02,8.288000000000000000e+03,3.400000000000000000e+01
2.195089999999999861e+02,8.381000000000000000e+03,1.000000000000000000e+01
1.645649999999999977e+02,8.402000000000000000e+03,1.400000000000000000e+01
1.093220000000000027e+02,8.426000000000000000e+03,3.800000000000000000e+01
1.383309999999999889e+02,8.511000000000000000e+03,5.100000000000000000e+01
1.648679999999999950e+02,8.605000000000000000e+03,4.200000000000000000e+01
1.650829999999999984e+02,8.651000000000000000e+03,2.100000000000000000e+01
2.458259999999999934e+02,8.741000000000000000e+03,1.400000000000000000e+01
1.846030000000000086e+02,8.765000000000000000e+03,1.900000000000000000e+01
1.225840000000000032e+02,8.791000000000000000e+03,4.400000000000000000e+01
1.471140000000000043e+02,8.875000000000000000e+03,4.500000000000000000e+01
1.844139999999999873e+02,8.971000000000000000e+03,1.700000000000000000e+01
1.842400000000000091e+02,8.993000000000000000e+03,1.700000000000000000e+01
1.843139999999999930e+02,9.014000000000000000e+03,3.600000000000000000e+01
2.456560000000000059e+02,9.101000000000000000e+03,1.400000000000000000e+01
1.835149999999999864e+02,9.130000000000000000e+03,1.200000000000000000e+01
1.227259999999999991e+02,9.154000000000000000e+03,3.900000000000000000e+01
1.469010000000000105e+02,9.238000000000000000e+03,4.600000000000000000e+01
1.837920000000000016e+02,9.328000000000000000e+03,1.900000000000000000e+01
1.835929999999999893e+02,9.357000000000000000e+03,1.500000000000000000e+01
1.839710000000000036e+02,9.378000000000000000e+03,3.400000000000000000e+01
2.176870000000000118e+02,9.465000000000000000e+03,1.300000000000000000e+01
1.609590000000000032e+02,9.490000000000000000e+03,1.300000000000000000e+01
1.095430000000000064e+02,9.517000000000000000e+03,4.400000000000000000e+01
8.306799999999999784e+01,9.565000000000000000e+03,5.000000000000000000e+00
1.377410000000000139e+02,9.602000000000000000e+03,4.700000000000000000e+01
1.649089999999999918e+02,9.694000000000000000e+03,2.000000000000000000e+01
1.648040000000000020e+02,9.718000000000000000e+03,1.800000000000000000e+01
1.648830000000000098e+02,9.741000000000000000e+03,3.400000000000000000e+01
2.202949999999999875e+02,9.829000000000000000e+03,5.000000000000000000e+00
1.642139999999999986e+02,9.854000000000000000e+03,1.100000000000000000e+01
1.108520000000000039e+02,9.876000000000000000e+03,4.900000000000000000e+01
1.357580000000000098e+02,9.959000000000000000e+03,9.000000000000000000e+00
1.653040000000000020e+02,1.005800000000000000e+04,1.700000000000000000e+01
1.652340000000000089e+02,1.008200000000000000e+04,1.600000000000000000e+01
1.653779999999999859e+02,1.010000000000000000e+04,3.200000000000000000e+01
2.449890000000000043e+02,1.018600000000000000e+04,1.300000000000000000e+01
1.843629999999999995e+02,1.021000000000000000e+04,2.200000000000000000e+01
1.470889999999999986e+02,1.031800000000000000e+04,4.500000000000000000e+01
1.847510000000000048e+02,1.041100000000000000e+04,1.800000000000000000e+01
1.848290000000000077e+02,1.043200000000000000e+04,2.000000000000000000e+01
2.460010000000000048e+02,1.054200000000000000e+04,1.500000000000000000e+01
1.826589999999999918e+02,1.056700000000000000e+04,1.700000000000000000e+01
1.224729999999999990e+02,1.059300000000000000e+04,4.100000000000000000e+01
1.473290000000000077e+02,1.067500000000000000e+04,3.400000000000000000e+01
1.853199999999999932e+02,1.076700000000000000e+04,1.900000000000000000e+01
1.838580000000000041e+02,1.079300000000000000e+04,1.400000000000000000e+01
1.840699999999999932e+02,1.081300000000000000e+04,3.700000000000000000e+01
2.182700000000000102e+02,1.090400000000000000e+04,1.500000000000000000e+01
1.640900000000000034e+02,1.092500000000000000e+04,1.300000000000000000e+01
1.113990000000000009e+02,1.095400000000000000e+04,3.600000000000000000e+01
1.379879999999999995e+02,1.103600000000000000e+04,4.800000000000000000e+01
1.648269999999999982e+02,1.112500000000000000e+04,2.200000000000000000e+01
1.659149999999999920e+02,1.115300000000000000e+04,1.900000000000000000e+01
1.648060000000000116e+02,1.117400000000000000e+04,3.200000000000000000e+01
2.191930000000000121e+02,1.126100000000000000e+04,2.100000000000000000e+01
1.644679999999999893e+02,1.128600000000000000e+04,1.600000000000000000e+01
1.091280000000000001e+02,1.131000000000000000e+04,4.600000000000000000e+01
1.379039999999999964e+02,1.139200000000000000e+04,4.600000000000000000e+01
1.652990000000000066e+02,1.148600000000000000e+04,1.700000000000000000e+01
2.178499999999999943e+02,1.162000000000000000e+04,1.900000000000000000e+01
1.649199999999999875e+02,1.164400000000000000e+04,1.400000000000000000e+01
1.091400000000000006e+02,1.167000000000000000e+04,2.700000000000000000e+01
1.380980000000000132e+02,1.174900000000000000e+04,4.600000000000000000e+01
1.650089999999999861e+02,1.184300000000000000e+04,2.000000000000000000e+01
1.646529999999999916e+02,1.186500000000000000e+04,2.300000000000000000e+01
2.453669999999999902e+02,1.197600000000000000e+04,1.300000000000000000e+01
1.841920000000000073e+02,1.199900000000000000e+04,1.800000000000000000e+01
1.227259999999999991e+02,1.202400000000000000e+04,3.700000000000000000e+01
1.470800000000000125e+02,1.211000000000000000e+04,4.400000000000000000e+01
1.839550000000000125e+02,1.220400000000000000e+04,1.700000000000000000e+01
1.840120000000000005e+02,1.222800000000000000e+04,1.700000000000000000e+01
1.839989999999999952e+02,1.224700000000000000e+04,3.800000000000000000e+01
2.456299999999999955e+02,1.233300000000000000e+04,1.300000000000000000e+01
1.838149999999999977e+02,1.235800000000000000e+04,1.300000000000000000e+01
1.467040000000000077e+02,1.238600000000000000e+04,3.600000000000000000e+01
1.842040000000000077e+02,1.246800000000000000e+04,4.900000000000000000e+01
1.659979999999999905e+02,1.256400000000000000e+04,1.800000000000000000e+01
1.651680000000000064e+02,1.258600000000000000e+04,5.100000000000000000e+01
2.185089999999999861e+02,1.269300000000000000e+04,1.700000000000000000e+01
1.634519999999999982e+02,1.271900000000000000e+04,1.500000000000000000e+01
1.091839999999999975e+02,1.274800000000000000e+04,3.100000000000000000e+01
1.378770000000000095e+02,1.283000000000000000e+04,4.600000000000000000e+01
1.652949999999999875e+02,1.292200000000000000e+04,2.100000000000000000e+01
1.656349999999999909e+02,1.294500000000000000e+04,2.300000000000000000e+01
1.646239999999999952e+02,1.297000000000000000e+04,3.100000000000000000e+01
1.651570000000000107e+02,1.308300000000000000e+04,1.100000000000000000e+01
1.092759999999999962e+02,1.310700000000000000e+04,4.000000000000000000e+01
1.378540000000000134e+02,1.319400000000000000e+04,4.700000000000000000e+01
